Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
Nelson Velazquez,CHC,77,206,6,20,26,5,9.2%,31.6%,.168,.281,.205,.286,.373,.291,.305,87,0.1,-3.0,-2.9,0.1
Gosuke Katoh,TOR,8,11,0,2,0,0,27.3%,9.1%,.143,.167,.143,.400,.286,.333,.351,119,0.2,0.4,0.3,0.1
Edwin Rios,LAD,27,92,7,12,17,0,5.4%,39.1%,.256,.326,.244,.293,.500,.338,.312,120,-0.7,1.5,-3.6,0.1
Paul DeJong,STL,77,237,6,19,25,3,8.9%,33.3%,.129,.213,.157,.245,.286,.241,.267,55,-0.7,-13.0,5.9,0.1
Jared Young,CHC,6,22,0,2,0,1,13.6%,31.8%,.105,.417,.263,.364,.368,.329,.315,113,0.3,0.6,-0.4,0.1
Pavin Smith,ARI,75,277,9,24,33,1,10.1%,24.2%,.147,.262,.220,.300,.367,.294,.304,87,0.5,-3.8,-4.7,0.1
Connor Wong,BOS,27,56,1,8,7,0,8.9%,28.6%,.125,.250,.188,.273,.313,.263,.281,63,0.8,-1.6,0.6,0.1
Nick Solak,TEX,35,95,3,14,4,3,7.4%,20.0%,.122,.233,.207,.309,.329,.291,.335,89,0.6,-0.6,-1.6,0.1
Ezequiel Duran,TEX,58,220,5,25,25,4,5.5%,24.5%,.130,.295,.236,.277,.365,.282,.256,82,-0.2,-4.7,-1.6,0.1
Matt Wallner,MIN,18,65,2,4,10,1,9.2%,38.5%,.158,.367,.228,.323,.386,.311,.245,104,0.4,0.7,-2.1,0.1
Austin Dean,SFG,3,9,0,1,0,0,11.1%,0.0%,.000,.375,.375,.444,.375,.371,.317,143,0.0,0.4,0.0,0.1
Pedro Severino,MIL,8,21,0,0,1,0,14.3%,33.3%,.111,.364,.222,.333,.333,.303,.227,94,0.1,-0.1,0.0,0.1
Dixon Machado,SFG,5,17,0,1,0,0,5.9%,29.4%,.000,.300,.200,.294,.200,.239,.281,52,0.0,-1.0,1.1,0.1
Lewis Brinson,SFG,16,39,3,5,4,1,5.1%,35.9%,.306,.158,.167,.211,.472,.289,.264,87,0.5,-0.1,-0.6,0.1
Liover Peguero,PIT,1,4,0,0,0,0,25.0%,50.0%,.000,1.000,.333,.500,.333,.393,.297,156,0.0,0.3,0.2,0.1
Dustin Garneau,DET,8,11,0,1,1,0,9.1%,36.4%,.100,.500,.300,.364,.400,.338,.334,123,0.0,0.3,0.0,0.1
Maikel Garcia,KCR,9,23,0,1,2,0,4.3%,21.7%,.045,.412,.318,.348,.364,.315,.242,102,-0.2,-0.2,0.0,0.1
Juan Yepez,STL,76,274,12,27,30,0,5.8%,22.3%,.194,.283,.253,.296,.447,.319,.286,109,-1.7,1.2,-9.8,0.1
Dairon Blanco,KCR,5,7,0,1,2,1,0.0%,57.1%,.000,.667,.286,.286,.286,.253,.056,58,0.0,-0.3,0.6,0.1
Evan Phillips,LAD,64,1,0,0,0,0,100.0%,0.0%,.000,.000,.000,1.000,.000,.689,.689,360,0.0,0.3,0.1,0.0
Richie Martin,BAL,13,33,0,4,3,3,9.1%,30.3%,.133,.250,.167,.242,.300,.240,.241,53,-0.5,-2.3,1.7,0.0
Rob Brantly,NYY,1,3,0,0,0,0,0.0%,0.0%,.333,.333,.333,.333,.667,.420,.333,181,0.0,0.3,0.1,0.0
Jake Hager,ARI,28,59,0,4,3,0,13.6%,28.8%,.040,.364,.240,.345,.280,.291,.247,84,0.5,-0.5,-1.0,0.0
Colin Moran,CIN,42,128,5,11,23,0,12.5%,23.4%,.165,.234,.211,.305,.376,.300,.318,86,-0.9,-3.1,-0.8,0.0
Marwin Gonzalez,NYY,86,207,6,20,18,3,6.8%,26.1%,.136,.222,.185,.255,.321,.257,.282,65,-1.1,-9.2,3.0,0.0
Francisco Alvarez,NYM,5,14,1,3,1,0,14.3%,28.6%,.333,.143,.167,.286,.500,.336,.421,123,-0.2,0.2,-0.3,0.0
Eguy Rosario,SDP,7,6,0,0,0,0,16.7%,33.3%,.000,.333,.200,.333,.200,.262,.139,70,0.1,-0.1,0.3,0.0
Terrance Gore,NYM,10,8,0,1,0,3,0.0%,37.5%,.000,.250,.143,.143,.143,.126,.128,-20,0.7,-0.4,0.5,0.0
Luis Garcia,WSN,93,377,7,29,45,3,2.9%,22.3%,.133,.337,.275,.295,.408,.303,.305,93,-2.5,-5.6,-6.7,0.0
Cam Gallagher,KCR,18,47,0,1,5,0,6.4%,27.7%,.119,.310,.214,.267,.333,.265,.220,66,0.2,-1.6,0.4,0.0
Josh Smith,TEX,73,253,2,23,16,4,11.1%,19.8%,.052,.244,.197,.307,.249,.262,.296,68,0.3,-8.9,1.1,0.0
Adalberto Mondesi,KCR,15,54,0,3,3,5,7.4%,37.0%,.000,.233,.140,.204,.140,.166,.211,-3,1.0,-5.3,3.9,0.0
Brian O'Keefe,SEA,2,4,0,0,0,0,25.0%,50.0%,.000,1.000,.333,.500,.333,.393,.379,165,0.0,0.3,-0.1,0.0
Max Stassi,LAA,102,375,9,32,30,0,10.1%,29.9%,.123,.239,.180,.267,.303,.258,.266,63,-2.7,-18.2,6.5,0.0
Mario Feliciano,MIL,2,5,0,0,0,0,20.0%,20.0%,.000,.333,.250,.400,.250,.315,.452,102,0.0,0.0,0.1,0.0
Sergio Alcantara,- - -,93,224,6,26,29,1,5.4%,25.4%,.137,.267,.220,.261,.356,.269,.244,70,-0.1,-7.8,0.5,0.0
Mark Kolozsvary,CIN,10,21,1,3,3,0,4.8%,42.9%,.250,.300,.200,.238,.450,.294,.236,81,-0.2,-0.7,0.2,0.0
Daz Cameron,DET,21,70,1,6,8,2,7.1%,28.6%,.125,.302,.219,.286,.344,.280,.303,82,1.1,-0.3,-1.7,0.0
Rene Pinto,TBR,25,83,2,5,10,0,2.4%,42.2%,.113,.349,.213,.241,.325,.249,.219,63,-0.7,-4.1,1.7,0.0
Vinny Capra,TOR,8,7,0,2,0,0,28.6%,14.3%,.000,.250,.200,.429,.200,.323,.379,112,-0.1,0.0,0.0,0.0
Terrin Vavra,BAL,40,103,1,14,12,0,11.7%,18.4%,.079,.310,.258,.340,.337,.303,.318,97,-1.7,-2.0,-1.0,0.0
Grayson Greiner,ARI,2,8,0,0,0,0,25.0%,37.5%,.000,.333,.167,.375,.167,.283,.227,79,0.0,-0.2,0.1,0.0
Buddy Kennedy,ARI,30,94,1,10,12,0,8.5%,24.5%,.108,.279,.217,.287,.325,.271,.255,71,0.1,-3.0,0.0,0.0
Khalil Lee,NYM,2,2,1,1,3,0,0.0%,0.0%,1.500,.000,.500,.500,2.000,1.036,.911,602,0.0,1.2,-1.1,0.0
Ben Gamel,PIT,115,423,9,42,46,5,11.3%,23.2%,.137,.291,.232,.324,.369,.308,.316,97,1.4,0.0,-14.1,0.0
Romy Gonzalez,CHW,32,109,2,15,11,0,1.8%,35.8%,.114,.354,.238,.257,.352,.264,.265,69,-0.6,-4.4,1.1,0.0
JT Riddle,CIN,2,4,0,0,0,0,0.0%,25.0%,.000,.333,.250,.250,.250,.221,.146,31,0.1,-0.2,0.2,0.0
Brandon Belt,SFG,78,298,8,25,23,1,12.4%,27.2%,.138,.277,.213,.326,.350,.303,.326,96,-1.0,-2.3,-7.7,0.0
Marcus Wilson,SEA,3,6,0,1,0,0,16.7%,66.7%,.000,1.000,.200,.333,.200,.262,.265,73,0.1,-0.1,-0.1,0.0
Cory Spangenberg,STL,1,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Scott Kingery,PHI,1,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Tommy Hunter,NYM,18,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Matt Bush,- - -,65,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Adam Ottavino,NYM,66,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Oliver Perez,ARI,7,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Sean Doolittle,WSN,6,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Matt Moore,TEX,63,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Zack Greinke,KCR,26,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Clayton Kershaw,LAD,22,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Adam Wainwright,STL,32,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Corey Kluber,TBR,31,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Lance Lynn,CHW,21,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Jhoulys Chacin,COL,35,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Ross Detwiler,CIN,30,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Kenley Jansen,ATL,65,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Max Scherzer,NYM,23,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
David Price,LAD,40,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
T.J. McFarland,STL,28,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Zack Britton,NYY,3,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Joe Smith,MIN,34,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Anibal Sanchez,WSN,14,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Darren O'Day,ATL,28,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Liam Hendriks,CHW,58,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Mark Melancon,ARI,62,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Justin Wilson,CIN,5,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Charlie Morton,ATL,31,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Rich Hill,BOS,26,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Jake Diekman,- - -,70,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Anthony Gose,CLE,22,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Jeurys Familia,- - -,48,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Jose Alvarez,SFG,21,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Manny Banuelos,- - -,35,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Michael Pineda,DET,11,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Pedro Baez,HOU,3,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Jesse Chavez,- - -,60,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Arodys Vizcaino,KCR,7,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Madison Bumgarner,ARI,30,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Ryan Brasier,BOS,68,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Tyler Clippard,WSN,4,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Huascar Brazoban,MIA,27,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
David Phelps,TOR,65,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Chris Archer,MIN,25,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Jake Odorizzi,- - -,22,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Trevor May,NYM,26,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Jose Cisnero,DET,28,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Steve Cishek,WSN,69,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Alex Cobb,SFG,28,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Carlos Carrasco,NYM,29,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Craig Kimbrel,LAD,63,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Alex Colome,COL,53,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Johnny Cueto,CHW,25,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Chase Anderson,CIN,9,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Martin Perez,TEX,32,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Luis Garcia,SDP,64,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Ian Kennedy,ARI,57,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Ryan Pressly,HOU,50,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Fernando Cruz,CIN,14,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Daniel Bard,COL,57,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Daniel Hudson,LAD,25,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Greg Holland,TEX,5,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Craig Stammen,SDP,33,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Jay Jackson,ATL,2,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Collin McHugh,ATL,58,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Jake McGee,- - -,42,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Jordan Lyles,BAL,32,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Tommy Milone,SEA,7,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Wily Peralta,DET,28,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Richard Bleier,MIA,55,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Hunter Strickland,CIN,66,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Anthony Bass,- - -,74,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Will Smith,- - -,65,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Bryan Shaw,CLE,60,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Paolo Espino,WSN,42,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Lucas Luetge,NYY,50,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Justin Verlander,HOU,28,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Wade Miley,CHC,9,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Cesar Valdez,LAA,1,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Kirby Yates,ATL,9,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Brad Hand,PHI,55,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Nathan Eovaldi,BOS,20,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Patrick Corbin,WSN,31,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Dallas Keuchel,- - -,14,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Brian Moran,LAA,1,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Joe Kelly,CHW,43,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Garrett Richards,TEX,32,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Miles Mikolas,STL,33,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Sergio Romo,- - -,23,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Mike Minor,CIN,19,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Tyler Matzek,ATL,42,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Brooks Raley,TBR,60,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Caleb Thielbar,MIN,67,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Kyle Gibson,PHI,31,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Stephen Strasburg,WSN,1,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Brad Boxberger,MIL,70,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Ryan Weber,NYY,5,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Shelby Miller,SFG,4,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Aroldis Chapman,NYY,43,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Ryan Tepera,LAA,59,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Zack Wheeler,PHI,26,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Erasmo Ramirez,WSN,60,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Juan Minaya,MIN,6,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Aaron Loup,LAA,65,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Robbie Erlin,LAD,2,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Mychal Givens,- - -,59,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Scott Alexander,SFG,17,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Chris Sale,BOS,2,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Andrew Bellatti,PHI,59,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Tyler Thornburg,- - -,14,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Drew Hutchison,DET,28,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Shane Greene,- - -,2,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Adam Kolarek,OAK,15,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Chasen Shreve,NYM,25,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Jacob deGrom,NYM,11,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Casey Lawrence,TOR,6,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Merrill Kelly,ARI,33,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Vince Velasquez,CHW,27,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Tommy Kahnle,LAD,13,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Jose Quintana,- - -,32,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Robbie Ray,SEA,32,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Joely Rodriguez,NYM,55,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Aaron Sanchez,- - -,15,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Jose Urena,- - -,21,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Heath Hembree,- - -,26,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Jameson Taillon,NYY,32,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Justin Grimm,OAK,15,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Drew Smyly,CHC,22,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Noah Syndergaard,- - -,25,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Hansel Robles,BOS,26,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Hector Neris,HOU,70,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Taijuan Walker,NYM,29,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Chris Martin,- - -,60,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Jason Adam,TBR,67,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Michael Feliz,BOS,1,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Kyle Hendricks,CHC,16,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Yimi Garcia,TOR,61,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Parker Markel,OAK,3,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Domingo Tapia,OAK,11,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Aaron Brooks,STL,5,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Chris Bassitt,NYM,30,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Jacob Barnes,- - -,23,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Spencer Patton,TEX,7,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Seth Lugo,NYM,62,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Blake Treinen,LAD,5,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
Jerad Eickhoff,PIT,1,0,0,0,0,0,0.0%,0.0%,.000,.000,.000,.000,.000,.000,,,0.0,0.0,0.0,0.0
